Method,Top-1,Top-5,GT-known
BAS,72.55781843286158,85.53676216775975,90.73179150845702
BESTIE All masks, 24.887814981014845, 37.797721781152916, 61.08042802899551
BESTIE Combined mask, 25.40559199171557, 25.40559199171557, 79.32343803935106
